# Pronunciations for the offline neural voice (KOKORO_G2P_LEXICON).
# Generated by `npm run build:g2p`; do not edit by hand.
# Archaic verb forms and biblical names the voice would otherwise spell
# out letter by letter. Format: word<TAB>IPA
hachmoni	hækˈmoʊnaɪ
hachmonite	hækˈmoʊnaɪ
hadadezer	hædædˈiːzɜː
hadadrimmon	hɑːdædˈɹɪmɔn
hadashah	hɑːˈdɑːʃɑː
hadattah	hɑːˈdætɐ
hadest	hædᵻst
hadoram	hɑːˈduːɹæm
hagabah	hɑːˈɡɑbɑː
hagerite	ˈhɑːdʒɜːɪɾ
haggiah	hɑːˈɡiːɐ
hai	ˈhɑːaɪ
hakkoz	ˈhækɑz
hali	ˈhɑːlaɪ
hammedatha	hæmiːˈdɑːθɑː
hammelech	ˈhæmiːlɛk
hammuel	ˈhæmjuːɛl
hamonah	hɑːˈmoʊnɑː
hamuel	ˈhæmjuːɛl
hamutal	hɑːˈmuːtæl
hananiah	hænɐˈnaɪɐ
handleth	hˈændələθ
hanniel	ˈhænaɪɛl
hapharaim	hæfɐˈɹɑɪm
hara	ˈhɑːɹɑ
haradah	hɑːˈɹɑdɑː
hardenest	hˈɑːɹdənᵻst
hareph	ˈhɑːɹɛf
hareth	hˈɛɹəθ
harodite	ˈhɑːɹɑːdɪɾ
haroeh	hɑːˈɹoʊiː
haruphite	hɑːˈɹuːfɪt
hasadiah	hɐzɐˈdiɐ
hasenuah	hɐziːˈnuːɐ
hashabneiah	hæʃɑbniːˈaɪɐ
hashbadana	hæʃbɑːˈdɑːnɑː
hashmonah	ˈhæʃmoʊnɑː
hashubah	hɑːˈʃuːbɑː
hassenuah	hɐziːˈnuːɐ
hasupha	hɑːˈsɑːfɑː
hatest	hˈætᵻst
hatipha	hɑːˈtaɪfɑː
havilah	ˈhævaɪlɑ
hazael	hɑːˈzɑːɛl
hazaiah	hɑːˈzɑːjɐ
hazo	ˈhɑːzoʊ
heapest	hˈiːpᵻst
heardest	hˈɜːdᵻst
hearest	hˈɪɹᵻst
hearkenest	hˈɑːɹkənᵻst
hegai	ˈhiːɡɑaɪ
hege	ˈhiːɡɑaɪ
heli	ˈhiːlaɪ
hena	ˈhiːnɑː
herdest	hˈɜːdᵻst
herest	hɜːᵻst
heyest	hˈeɪᵻst
hiddai	ˈhɪdɐaɪ
hidest	hˈɪdᵻst
hiel	ˈhaɪɛl
hirest	hˈɜːᵻst
hobaiah	hɑːˈbɑːjɐ
hodaviah	hɑːdɐˈɹoʊmənɐ
hodevah	hoʊˈdəvɑː
hodiah	hoʊˈdiɐ
hodijah	hoʊˈdiɐ
holdest	hˈoʊldᵻst
honorest	ˈɑːnɚɹᵻst
honourest	ˈɑːnɚɹᵻst
horonaim	hɔːɹoʊˈnɑːɪm
hoshaiah	hoʊˈʃɑːjɐ
hozai	ˈhoʊzɑːaɪ
hukkok	ˈhʌkOkA
humbleth	hˈʌmbələθ
humtah	ˈhʌmtɑː
hydest	hˈɪdᵻst
ibneiah	ɪbˈniːjɐ
ibnijah	ɪbˈnaɪjɑː
iezer	aɪˈiːzɜː
igal	ˈaɪɡæl
igeal	ˈaɪdʒiːæl
iim	ˈaɪɪm
ijon	ˈaɪdʒɑːn
ilai	ˈaɪlɑaɪ
imagineth	ɪmˈædʒɪnəθ
imla	ˈɪmlɑ
immolateth	ˈɪməlˌeɪtəθ
imna	ˈɪmnɑː
inclineth	ɪŋklˈaɪnəθ
incloseth	ɪŋklˈoʊzəθ
increaseth	ˈɪŋkɹiːsəθ
inebriateth	ɪnˈiːbɹɪˌeɪtəθ
inflameth	ɪnflˈeɪməθ
inhabitest	ɪnhˈæbɪtᵻst
inquireth	ɪŋkwˈaɪɚɹəθ
inscribeth	ɪnskɹˈaɪbəθ
inspectest	ɪnspˈɛktᵻst
instructest	ɪnstɹˈʌktᵻst
insultest	ˈɪnsʌltᵻst
intendest	ɪntˈɛndᵻst
intercedeth	ˌɪntɚsˈiːdəθ
intermeddleth	ˌɪntɚmˈɛdələθ
invadeth	ɪnvˈeɪdəθ
iphdeiah	ɪfˈdəjɐ
iphtah	ˈɪftɑː
iram	ˈaɪɹæm
iru	ˈaɪɹuː
ishi	ˈɪʃaɪ
ishmaiah	ɪʃˈmɑːjɐ
ishmeelites	ˈɪʃmiːɛlɪts
ishuah	ˈɪʃjuːɐ
ishvah	ˈɪʃvɑː
ismachiah	ɪzmɑːˈkaɪɐ
isshijah	ɪzˈʃijɑː
issueth	ˈɪʃuːəθ
isuah	ˈɪʃjuːɐ
ituraea	ɪɾjuːˈɹAɐ
ivvah	ˈɹoʊmənɐ
jaakobah	jɑːɐˈkoʊbɑː
jaalah	ˈjɑːɐlɑ
jaalam	ˈjɑːɐlæm
jaanai	ˈjɑːɐnaɪ
jaar	ˈjɑːɑːɹ
jaareshiah	jɑːɑːɹiːˈʃiɐ
jaasai	ˈjɑːɐsiː
jaasau	ˈjɑːɐsiː
jaasiel	jɑːˈɐsiːɛl
jaasu	ˈjɑːɐsuː
jaazaniah	jɑːæzɐˈnaɪɐ
jaazer	ˈjɑːɐzɜː
jabbok	ˈdʒæbOkA
jabneel	ˈdʒæbniːɛl
jabneh	ˈdʒæbniːɛl
jada	ˈjɑːdɑː
jaddai	ˈdʒædaɪ
jaddua	ˈdʒædjuːɐ
jael	ˈjɑːɛl
jahleel	ˈjɑːləɛl
jahmai	ˈjɑːmɑːaɪ
jahzeiah	jɑːˈzijɐ
jahzerah	ˈjɑːziɹɑ
jair	ˈjɑːɜːɹ
jaresiah	dʒɑːɹiːˈsiːɐ
jaroah	jɑːˈɹoʊɐ
jashobeam	jɑːˈʃoʊbiːɐm
jasiel	ˈjɑːsiːɛl
jattir	ˈʤɑtɜːɹ
jedidiah	dʒɛdaɪˈdiɐ
jeremai	ˈdʒɜːiːmaɪ
jeremiel	dʒɜːiːˈmaɪɛl
jerimoth	ˈdʒɜːaɪmɑːθ
jerubbaal	dʒɜːjuːˈbɑːæl
joab	ˈdʒoʊɑb
joah	ˈdʒoʊɐ
joarib	ˈdʒoʊɐɹɪb
joda	ˈdʒoʊdɑː
jogbehah	ˈdʒɑːɡbiːhɑː
joha	ˈdʒoʊhɑː
jonathas	ˈdʒɑːnɐθɑːz
josaphat	ˈdʒɑːsɐfæt
joshaphat	ˈdʒɑːʃɐfæt
joshaviah	dʒɑːʃɐˈɹoʊmənɐ
joshbekashah	dʒɑːʃbiːˈkɑːʃɑː
joshibiah	dʒɑːʃaɪˈbaɪɐ
josiphiah	dʒɑːsaɪˈfaɪɐ
jotbathah	ˈdʒɑːtbɑːθɑː
judgeth	dʒˈʌdʒəθ
justifieth	dʒˈʌstᵻfˌaɪəθ
juttah	ˈdʒʌtɐ
kabzeel	ˈkæbziɛl
kareah	kɑːˈɹAɐ
kedemah	ˈkɛdiːmɑː
kindleth	kˈɪndələθ
knewest	nˈuːᵻst
knowest	nˈoʊᵻst
kolaiah	koʊˈlɑjɐ
laadah	ˈlɑɐdɑː
laborest	lˈeɪbɚᵻst
labourest	lˈeɪbɚᵻst
lackest	lˈækᵻst
laddest	lˈædᵻst
lael	ˈlɑɛl
lakkum	ˈlækʌm
laodicea	lɑɑːdaɪˈsiːɐ
lappidoth	ˈlæpaɪdʌθ
laydest	lˈeɪdᵻst
layest	lˈeɪᵻst
leadest	lˈiːdᵻst
leaveth	lˈiːvəθ
lebonah	ləˈboʊnɑː
lecah	ˈləkɑː
leddest	lˈɛdᵻst
lehabim	ləˈhɑːbɪm
lendest	lˈɛndᵻst
letushim	ləˈtuːʃɪm
leummim	ləˈʌmɪm
liketh	lˈaɪkəθ
lodgeth	lˈɑːdʒəθ
logest	lˈɔɡᵻst
loketh	lˈoʊkəθ
lookest	lˈʊkᵻst
losest	lˈoʊzᵻst
lovedest	lˈʌvdᵻst
loveth	lˈʌvəθ
lysanias	laɪˈsɑːnaɪæz
maacah	ˈmɑːɐkɑː
maachah	ˈmɑːɐkɑː
maadiah	mɑːɐˈdiɐ
maai	mɑːˈɐaɪ
maarath	ˈmɑːɐɹæθ
maaseiah	mɑːɐˈsiːjɐ
maaz	ˈmɑːæz
madest	mˈædᵻst
magnifiest	mˈæɡnᵻfˌaɪᵻst
magnifieth	mˈæɡnᵻfˌaɪəθ
mahseiah	mɑːˈsiːjɐ
maiest	mˈAᵻst
maintainest	meɪntˈeɪnᵻst
malchielites	ˈmælkaɪɛlɪts
malchijah	mælˈkaɪjɑː
malchiram	mælˈkaɪɹæm
maleleel	mɑːˈlələɛl
malluchi	ˈmæljuːkaɪ
manahathites	ˈmænɐhæθɪts
maon	ˈmɑːɔn
markest	mˈɑːɹkᵻst
marrieth	mˈæɹiəθ
maspha	ˈmæsfɑː
masrekah	ˈmæsɹAkɑː
mattaniah	mætɐˈnaɪɐ
mattathah	ˈmætɐθɑː
mattattah	ˈmætɐtɑː
matthanias	mætθɑːˈnaɪæz
meah	ˈmiːɐ
measureth	mˈɛʒɚəθ
mebunnai	miːˈbʌnaɪ
meddleth	mˈɛdələθ
meditateth	mˈɛdᵻtˌeɪtəθ
medleth	mˈɛdələθ
megiddon	miːˈɡɪdoʊ
mehetabeel	miːˈhɛtɐbɛl
mehetabel	miːˈhɛtɐbɛl
mehujael	miːˈhuːjɑːɛl
mehunim	miːˈhuːnɪm
mekonah	miːˈkoʊnɑː
melatiah	mɛlɐˈtaɪɐ
melchiah	mɛlˈkaɪɐ
melchishua	mɛlkaɪˈʃuːɐ
memucan	miːˈmuːkæn
meni	ˈmiːnaɪ
mephibosheth	miːˈfɪboʊʃɛθ
meraiah	miːˈɹɑjɐ
merathaim	mɜːɐˈθɑːɪm
meribah	ˈmɜːaɪbɑː
meshelemiah	miːʃɛliːˈmaɪɐ
meshobab	miːˈʃoʊbæb
meshullam	miːˈʃʌlɐm
